land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
FESI,,,,"(md > 0510) * (md < 0520) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
FESI,,,,,fertilizer,orgN,,,0.25,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
FESI,,,,"(md > 0610) * (md < 0620) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
FESI,,,,,fertilizer,orgN,,,0.25,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
FESI,,,,"(md > 0710) * (md < 0720) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,,"(md > 0715) * (md < 0730) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.25,0,,,,
FESI,,,,,fertilizer,orgN,,,0.25,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
FESI,,,,"(md > 0910) * (md < 0925) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
GRAP,,,,,initial_crop,GRAP,2,700,900,,,,,
GRAP,,,,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,1,0,,,,
GRAP,,,,,fertilizer,orgN,,,1,0,,,,
GRAP,,,,,fertilizer,Elem-P,,,20,0,,,,
GRAP,,,,"(md > 0905) * (md < 0915) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.3,,,,
ORCD,,,,,initial_crop,ORCD,2,800,1750,,,,,
ORCD,,,,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,1,0,,,,
ORCD,,,,,fertilizer,orgN,,,1,0,,,,
ORCD,,,,,fertilizer,Elem-P,,,15.5,0,,,,
ORCD,,,,"(md > 0910) * (md < 0930) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.3,,,,
OELK,,,,"(md > 0416) * (md < 0501) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,1,0,,,,
OELK,,,,,fertilizer,orgN,,,1,0,,,,
OELK,,,,,fertilizer,Elem-P,,,60,0,,,,
OELK,,,,"(md > 0420) * (md < 0510) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,OELK,,,1250,0,0,0,0,
OELK,,,,"(md > 0910) * (md < 1025) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op)) *  w_log(hu_fr, 0.9, 1) * (1 - w_log(hu_fr, 1.1, 1.3))",harvest_kill,,,,68,,,,,
OELK,conv,0.46,,"(md > 1020) * (md < 1105) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Fallplow,,,85,,,,,
OELK,cons,0.54,,"(md > 1020) * (md < 1105) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,Constill,,,80,,,,,
FRSD,,,,,initial_crop,FRSD,2,1000,2440,,,,,
